,ID,name,categories,lat,lng,cuisines,Rating,Cost for Two
17,,Fat Lulu's,Italian Restaurant,28.46798754842916,77.0829322455519,"Pizza, Italian, Salad",4.2,1700.0
18,,The Mind Cafe,Café,28.46808768085656,77.08312511444092,"Pizza, Italian, Salad",4.2,1700.0
19,,Khan Chacha | खान चाचा | خان چاچا,Indian Restaurant,28.467280047826193,77.08163947730908,"Rolls, Kebab, Mughlai, North Indian",3.7,650.0
20,,궁 Gung The Palace,Korean Restaurant,28.468465070782482,77.06249103944215,Korean,4.1,3000.0
21,,Thai Pavillion,Thai Restaurant,28.455910617176567,77.07052598075025,"Thai, Asian",4.1,4000.0
22,,Cafe Bali Hai,Asian Restaurant,28.46835525641097,77.08343205234351,"American, Italian, Healthy Food, Juices, Cafe",4.2,1500.0
23,,Cafe Wanderlust,Café,28.467021916821494,77.08168061763418,"Cafe, Fast Food",4.0,600.0
24,,Wild Fire,Brazilian Restaurant,28.46832048994275,77.05964223659062,Brazilian,4.0,5000.0
25,,Dine Esty,Chinese Restaurant,28.460635218570538,77.07797848983725,"North Indian, Pizza",3.6,800.0
26,,Dunkin' Donuts,Donut Shop,28.45944774116872,77.0728211475527,Bakery,3.5,200.0
27,,Pintxo,Tapas Restaurant,28.46760694781194,77.08177224611548,"Spanish, Italian",4.1,1000.0
28,,The Joint An Addiction,Burger Joint,28.46759593690231,77.08150591845121,"Cafe, Burger, Italian, American, Steak",4.2,1400.0
29,,Le Marche,Bakery,28.467631819395372,77.08134640591321,"Bakery, Desserts, Fast Food",3.6,800.0
30,,Red Hot Café,Asian Restaurant,28.468441231232383,77.07442639852506,"Chinese, Asian, Thai, Malaysian, Vietnamese, Japanese",3.8,1000.0
31,,MoMo,Restaurant,28.46096922026557,77.08050648940251,"Mughlai, North Indian",3.8,500.0
32,,The Monk,Chinese Restaurant,28.463142122986653,77.04903695574885,"North Indian, Chinese",0,300.0
33,,Cafe Coffee Day (CCD),Café,28.468912479214254,77.06218041661162,"Beverages, Cafe, Sandwich, Fast Food",3.8,600.0
34,,Pind Balluchi,Indian Restaurant,28.468428138680622,77.06440255309869,"North Indian, Mughlai, Kebab",3.7,1300.0
35,,Balaji Restaurant,Diner,28.461161587318593,77.07962754742238,"Fast Food, Biryani",3.4,350.0
36,,McDonald's,Fast Food Restaurant,28.468322905284253,77.0631954113615,"Chinese, North Indian, Fast Food",3.6,600.0
37,,Culture Gully,Food Court,28.468218983475065,77.06964182778495,Rajasthani,3.6,800.0
38,,latitude,Restaurant,28.455863534084322,77.07053670845899,Finger Food,3.9,3400.0
